source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,,"5,марта,в,21:03",Israel should NEVER be treated with such disrespect!,65 тыс.,53 тыс.,"2,2 тыс.","8,1 тыс.",360,620,711,Комментарии: 7 420,/story.php?story_fbid=10162241670395725&id=153080620724
Donald J. Trump,,"5,марта,в,19:48",Very soon I will be signing an Executive Order requiring colleges and universities to support Free Speech on their campuses if they want federal research money!,36 тыс.,29 тыс.,502,6 тыс.,85,10,63,Комментарии: 4 075,/story.php?story_fbid=10162237738945725&id=153080620724
Donald J. Trump,,"6,марта,в,00:31",MAKE AMERICA GREAT AGAIN!,104 тыс.,83 тыс.,"2,4 тыс.",18 тыс.,248,20,79,Комментарии: 7 596,/story.php?story_fbid=10162241674475725&id=153080620724
Donald J. Trump,,"5,марта,в,02:35",The FAKE NEWS will give me no credit for the progress we have made with North Korea. Other presidents have not come close to what my administration has done!,30 тыс.,26 тыс.,800,"3,4 тыс.",89,53,82,Комментарии: 3 960,/story.php?story_fbid=10162238538600725&id=153080620724
Donald J. Trump,,"5,марта,в,07:00",Socialism is a radical and failing ideology. But the Democrat party is totally embracing it!,12 тыс.,10 тыс.,592,952,174,272,414,Комментарии: 2 976,/story.php?story_fbid=10162237225975725&id=153080620724
Donald J. Trump,,"5,марта,в,05:04",Socialism is about power for the ruling class. I will continue to say that America will NEVER be a socialist country!,27 тыс.,22 тыс.,690,"4,3 тыс.",56,27,73,Комментарии: 3 556,/story.php?story_fbid=10162237728700725&id=153080620724
Donald J. Trump,,"5,марта,в,18:04","President Donald J. Trump’s schedule for Tuesday, March 5th: -Participate in a signing ceremony for an Executive Order on a “National Roadmap to Empower Veterans and End Veteran Suicide”",11 тыс.,"9,2 тыс.",221,"1,8 тыс.",29,7,25,Комментарии: 1 423,/story.php?story_fbid=10162241102145725&id=153080620724
Donald J. Trump,,"5,марта,в,00:39",I am working hard for our great American farmers!,21 тыс.,17 тыс.,550,3 тыс.,48,11,41,Комментарии: 2 092,/story.php?story_fbid=10162237744125725&id=153080620724
Donald J. Trump,,"4,марта,в,23:20","""Today, the Democrat Party is drifting further to the extreme left than ever before, and the American people deserve an open and honest debate applying that same level of scrutiny to the radical policies Democrats are running on in the 2020 presidential election.""",24 тыс.,22 тыс.,498,"1,6 тыс.",99,39,94,Комментарии: 2 224,/story.php?story_fbid=10162237425640725&id=153080620724
Donald J. Trump,,"4,марта,в,20:51",It was my great honor to speak at CPAC. This is the future of our historic MOVEMENT!,13 тыс.,10 тыс.,341,"2,5 тыс.",21,11,44,Комментарии: 2 026,/story.php?story_fbid=10162237327970725&id=153080620724
Donald J. Trump,,"4,марта,в,18:08","President Donald J. Trump’s schedule for Monday, March 4th: -Participate in a photo opportunity with the 2018 Division I FCS National Champions: The North Dakota State Bison -Lunch with the Vice President -Receive intelligence briefing -Sign Executive Order on “Supporting the Transition of Active Duty Service Members and Military Veterans into the Merchant Marine” -Deliver remarks at the National Association of Attorneys General",10 тыс.,"9,1 тыс.",261,"1,4 тыс.",38,4,20,Комментарии: 1 837,/story.php?story_fbid=10162236757445725&id=153080620724
Donald J. Trump,,"4,марта,в,21:46","Socialism will NEVER Make America Great. Thank you, Ivanka!",22 тыс.,18 тыс.,661,"2,9 тыс.",43,16,56,Комментарии: 3 114,/story.php?story_fbid=10162237509620725&id=153080620724
Donald J. Trump,,"4,марта,в,02:51",Happy National Anthem Day!,130 тыс.,106 тыс.,"1,3 тыс.",23 тыс.,151,25,61,Комментарии: 7 106,/story.php?story_fbid=10162233250960725&id=153080620724
Donald J. Trump,,"2,марта,в,04:00","Despite the radical Democrats and their far-left proposals, America will NEVER be a socialist country!",21 тыс.,17 тыс.,730,"3,3 тыс.",74,12,51,Комментарии: 3 826,/story.php?story_fbid=10162226243440725&id=153080620724
Donald J. Trump,,"2,марта,в,17:02","President Donald J. Trump's schedule for Saturday, March 2nd: -Deliver remarks at the Conservative Political Action Conference",11 тыс.,"9,6 тыс.",363,"1,7 тыс.",30,10,42,Комментарии: 2 235,/story.php?story_fbid=10162227048790725&id=153080620724
Donald J. Trump,,"2,марта,в,22:07","""Add a new company to the list of “big tech” entities that have promised to cut off conservatives: PayPal.""",16 тыс.,"7,9 тыс.",362,257,"1,6 тыс.",333,"6,2 тыс.",Комментарии: 3 075,/story.php?story_fbid=10162222220090725&id=153080620724
Donald J. Trump,,"3,марта,в,02:08",This week my administration recognized the extraordinary contributions of African Americans to American life and we vowed to help bring freedom back to Venezuela!,12 тыс.,10 тыс.,330,"1,7 тыс.",34,8,47,Комментарии: 2 266,/story.php?story_fbid=10162227165620725&id=153080620724
Donald J. Trump,,"1,марта,в,22:40",I am not going to sign a deal for the sake of signing a deal. We need an agreement that works and is good for the country!,22 тыс.,19 тыс.,400,"2,9 тыс.",35,4,26,Комментарии: 2 419,/story.php?story_fbid=10162225252305725&id=153080620724
Donald J. Trump,,"2,марта,в,00:47",American women want safety and security for their families. I am delivering on my promise to Make America Safe!,23 тыс.,19 тыс.,555,"2,9 тыс.",36,9,41,Комментарии: 2 644,/story.php?story_fbid=10162222215080725&id=153080620724
Donald J. Trump,,"1,марта,в,19:04","""President Donald Trump’s “peace through strength” approach has achieved more tangible results in the past two years than all the other efforts combined.""",39 тыс.,34 тыс.,1 тыс.,"4,2 тыс.",80,11,44,Комментарии: 3 055,/story.php?story_fbid=10162222983180725&id=153080620724
